tick,avg_hydrolytic_resistance,pct_blocks_in_assemblies
0,0.000000,0.00
100,0.535579,0.00
200,0.553069,0.00
300,0.545882,0.00
400,0.569041,0.00
500,0.555389,0.00
600,0.536796,0.00
700,0.543410,0.00
800,0.543797,0.00
900,0.532852,0.00
1000,0.546838,0.00
1100,0.547359,0.00
1200,0.531313,0.00
1300,0.556809,0.00
1400,0.586858,0.00
1500,0.555286,0.00
1600,0.566441,0.00
1700,0.559068,0.00
1800,0.559268,0.00
1900,0.556978,0.00
2000,0.573958,0.00
2100,0.559013,0.00
2200,0.553627,0.00
2300,0.557888,0.00
2400,0.541275,0.00
2500,0.553688,0.00
2600,0.535454,0.00
2700,0.539819,0.00
2800,0.571130,0.00
2900,0.558353,0.00
3000,0.549794,0.00
3100,0.575754,0.00
3200,0.575259,0.00
3300,0.553334,0.00
3400,0.558949,0.00
3500,0.566862,0.00
3600,0.557632,0.00
3700,0.559425,0.00
3800,0.566751,0.00
3900,0.555783,0.00
4000,0.562859,0.00
4100,0.556038,0.00
4200,0.552893,0.00
4300,0.553621,0.00
4400,0.565168,0.00
4500,0.545917,0.00
4600,0.561636,0.00
4700,0.574348,0.00
4800,0.544175,0.00
4900,0.548580,0.00
5000,0.554866,0.00
5100,0.534944,0.00
5200,0.532419,0.00
5300,0.533285,0.00
5400,0.535199,0.00
5500,0.549083,0.00
5600,0.577509,0.00
5700,0.556793,0.00
5800,0.551954,0.00
5900,0.562780,0.00
6000,0.553111,0.00
6100,0.564676,0.00
6200,0.540597,0.00
6300,0.544207,0.00
6400,0.554160,0.00
6500,0.549355,0.00
6600,0.551912,0.00
6700,0.550054,0.00
6800,0.567744,0.00
6900,0.567401,0.00
7000,0.555744,0.00
7100,0.554170,0.00
7200,0.562759,0.00
7300,0.560026,0.00
7400,0.568054,0.00
7500,0.564805,0.00
7600,0.555558,0.00
7700,0.561858,0.00
7800,0.544378,0.00
7900,0.576746,0.00
8000,0.566494,0.00
8100,0.547820,0.00
8200,0.555986,0.00
8300,0.558266,0.00
8400,0.550748,0.00
8500,0.570251,0.00
8600,0.573375,0.00
8700,0.561102,0.00
8800,0.561028,0.00
8900,0.535562,0.00
9000,0.542123,0.00
9100,0.546230,0.00
9200,0.544906,0.00
9300,0.543683,0.00
9400,0.540995,0.00
9500,0.559535,0.00
9600,0.550586,0.00
9700,0.559137,0.00
9800,0.579968,0.00
9900,0.565222,0.00
10000,0.559753,0.00
10100,0.566288,0.00
10200,0.559252,0.00
10300,0.559145,0.00
10400,0.550067,0.00
10500,0.550974,0.00
10600,0.564871,0.00
10700,0.552427,0.00
10800,0.551647,0.00
10900,0.563255,0.00
11000,0.579861,0.00
11100,0.550653,0.00
11200,0.568630,0.00
11300,0.545710,0.00
11400,0.538155,0.00
11500,0.544128,0.00
11600,0.552424,0.00
11700,0.539855,0.00
11800,0.540307,0.00
11900,0.551960,0.00
12000,0.539250,0.00
12100,0.542872,0.00
12200,0.551178,0.00
12300,0.545951,0.00
12400,0.580688,0.00
12500,0.558269,0.00
12600,0.556244,0.00
12700,0.548105,0.00
12800,0.555493,0.00
12900,0.527328,0.00
13000,0.550732,0.00
13100,0.568495,0.00
13200,0.539648,0.00
13300,0.553065,0.00
13400,0.568131,0.00
13500,0.550935,0.00
13600,0.560199,0.00
13700,0.573227,0.00
13800,0.558344,0.00
13900,0.556023,0.00
14000,0.577816,0.00
14100,0.569345,0.00
14200,0.560047,0.00
14300,0.552615,0.00
14400,0.543769,0.00
14500,0.562413,0.00
14600,0.563543,0.00
14700,0.550942,0.00
14800,0.565118,0.00
14900,0.571160,0.00
15000,0.551334,0.00
15100,0.549394,0.00
15200,0.575341,0.00
15300,0.553045,0.00
15400,0.555557,0.00
15500,0.552851,0.00
15600,0.548563,0.00
15700,0.562902,0.00
15800,0.573745,0.00
15900,0.551753,0.00
16000,0.563567,0.00
16100,0.554170,0.00
16200,0.554123,0.00
16300,0.561077,0.00
16400,0.571228,0.00
16500,0.546374,0.00
16600,0.557983,0.00
16700,0.586957,0.00
16800,0.544041,0.00
16900,0.567893,0.00
17000,0.564874,0.00
17100,0.553872,0.00
17200,0.550029,0.00
17300,0.585780,0.00
17400,0.549596,0.00
17500,0.563969,0.00
17600,0.571218,0.00
17700,0.566604,0.00
17800,0.559713,0.00
17900,0.572228,0.00
18000,0.560673,0.00
18100,0.560299,0.00
18200,0.583798,0.00
18300,0.557697,0.00
18400,0.556102,0.00
18500,0.583517,0.00
18600,0.547972,0.00
18700,0.562129,0.00
18800,0.556596,0.00
18900,0.558694,0.00
19000,0.544954,0.00
19100,0.549496,0.00
19200,0.555806,0.00
19300,0.556083,0.00
19400,0.575699,0.00
19500,0.558991,0.00
19600,0.585272,0.00
19700,0.571063,0.00
19800,0.550934,0.00
19900,0.566640,0.00
20000,0.556349,0.00
20100,0.549415,0.00
20200,0.562329,0.00
20300,0.567788,0.00
20400,0.547172,0.00
20500,0.552303,0.00
20600,0.564206,0.00
20700,0.545808,0.00
20800,0.557942,0.00
20900,0.558849,0.00
21000,0.540814,0.00
21100,0.562652,0.00
21200,0.548431,0.00
21300,0.542986,0.00
21400,0.563376,0.00
21500,0.583420,0.00
21600,0.557115,0.00
21700,0.571460,0.00
21800,0.561725,0.00
21900,0.550162,0.00
22000,0.554167,0.00
22100,0.556112,0.00
22200,0.557746,0.00
22300,0.552216,0.00
22400,0.577310,0.00
22500,0.554882,0.00
22600,0.560277,0.00
22700,0.577518,0.00
22800,0.573062,0.00
22900,0.581164,0.00
23000,0.567996,0.00
23100,0.552533,0.00
23200,0.569138,0.00
23300,0.568913,0.00
23400,0.552091,0.00
23500,0.551776,0.00
23600,0.572807,2.12
23700,0.555457,1.46
23800,0.567946,0.00
23900,0.571112,0.00
24000,0.556540,0.00
24100,0.558582,0.00
24200,0.576438,0.00
24300,0.551292,0.00
24400,0.578471,0.00
24500,0.580892,0.00
24600,0.551280,0.00
24700,0.555122,0.00
24800,0.572818,0.00
24900,0.570062,0.00
25000,0.564554,0.00
25100,0.577033,0.00
25200,0.561193,0.00
25300,0.566488,0.00
25400,0.577753,0.00
25500,0.555898,0.00
25600,0.555734,0.00
25700,0.563102,0.00
25800,0.551734,0.00
25900,0.564409,0.00
26000,0.570174,0.00
26100,0.545668,0.00
26200,0.552570,0.00
26300,0.580068,0.00
26400,0.542713,0.00
26500,0.550330,0.00
26600,0.549154,0.00
26700,0.551014,0.00
26800,0.545576,0.00
26900,0.554702,0.00
27000,0.539429,0.00
27100,0.547208,0.00
27200,0.554881,0.00
27300,0.543248,0.00
27400,0.565217,0.00
27500,0.560705,0.00
27600,0.548399,0.00
27700,0.559333,0.00
27800,0.569350,0.00
27900,0.565215,0.00
28000,0.558705,0.00
28100,0.563222,0.00
28200,0.540378,0.00
28300,0.554763,0.00
28400,0.569736,0.00
28500,0.543597,0.00
28600,0.556183,0.00
28700,0.563097,0.00
28800,0.550730,0.00
28900,0.537850,0.00
29000,0.557487,0.00
29100,0.546404,0.00
29200,0.548129,0.00
29300,0.570910,0.00
29400,0.544705,0.00
29500,0.567081,0.00
29600,0.579363,0.00
29700,0.555274,0.00
29800,0.544010,0.00
29900,0.568406,0.00
30000,0.563919,0.00
30100,0.568353,0.00
30200,0.569452,0.00
30300,0.553304,0.00
30400,0.569082,0.00
30500,0.574795,0.00
30600,0.553833,0.00
30700,0.563928,0.00
30800,0.581120,0.00
30900,0.568440,0.00
31000,0.545699,0.00
31100,0.559061,0.00
31200,0.557394,0.00
31300,0.574527,0.00
31400,0.570177,0.00
31500,0.555042,0.00
31600,0.574576,0.00
31700,0.571671,0.00
31800,0.570658,0.00
31900,0.564509,0.00
32000,0.569986,0.00
32100,0.551218,0.00
32200,0.557495,0.00
32300,0.567886,0.00
32400,0.564506,0.00
32500,0.566997,0.00
32600,0.563139,0.00
32700,0.552363,0.00
32800,0.574444,0.00
32900,0.581444,0.00
33000,0.561387,0.00
33100,0.548825,0.00
33200,0.564660,0.00
33300,0.561942,0.00
33400,0.551034,0.00
33500,0.549286,0.00
33600,0.548768,0.00
33700,0.560888,0.00
33800,0.573207,0.00
33900,0.554275,0.00
34000,0.557696,0.00
34100,0.570872,0.00
34200,0.556652,0.00
34300,0.550066,0.00
34400,0.568050,0.00
34500,0.559884,0.00
34600,0.562468,0.00
34700,0.570800,0.00
34800,0.556139,0.00
34900,0.578875,0.00
35000,0.578725,0.00
35100,0.555401,0.00
35200,0.564247,0.00
35300,0.569762,0.00
35400,0.562722,0.00
35500,0.562486,0.00
35600,0.572037,0.00
35700,0.556832,0.00
35800,0.561698,0.00
35900,0.561656,0.00
36000,0.549569,0.00
36100,0.565039,0.00
36200,0.581442,0.00
36300,0.565016,0.00
36400,0.589662,0.00
36500,0.570661,0.00
36600,0.567475,0.00
36700,0.590170,0.00
36800,0.565234,0.00
36900,0.556107,0.00
37000,0.576319,0.00
37100,0.576459,0.00
37200,0.564117,0.00
37300,0.571359,0.00
37400,0.582094,0.00
37500,0.562543,0.00
37600,0.558463,0.00
37700,0.570731,0.00
37800,0.570868,0.00
37900,0.571422,0.00
38000,0.577360,0.00
38100,0.566562,3.19
38200,0.563049,2.94
38300,0.582708,3.33
38400,0.552062,2.73
38500,0.557260,2.77
38600,0.560615,3.23
38700,0.555049,2.79
38800,0.549834,2.94
38900,0.565272,3.27
39000,0.555354,2.87
39100,0.552736,3.05
39200,0.564935,3.27
39300,0.551768,2.83
39400,0.563555,3.10
39500,0.579190,3.16
39600,0.553692,2.68
39700,0.562669,3.00
39800,0.567212,3.19
39900,0.548521,2.91
40000,0.550400,3.05
40100,0.578369,3.40
40200,0.570392,3.16
40300,0.559247,3.04
40400,0.575645,3.31
40500,0.549914,2.78
40600,0.554830,2.99
40700,0.568906,3.51
40800,0.536195,2.72
40900,0.542802,2.97
41000,0.572135,3.28
41100,0.552339,3.00
41200,0.569115,3.07
41300,0.582756,3.36
41400,0.553952,3.05
41500,0.572659,2.84
41600,0.584380,3.35
41700,0.547218,3.08
41800,0.552714,3.32
41900,0.574549,3.74
42000,0.540329,3.00
42100,0.554050,3.08
42200,0.569768,3.31
42300,0.564509,2.95
42400,0.570937,3.09
42500,0.600114,3.59
42600,0.583828,3.48
42700,0.560385,3.64
42800,0.597351,3.77
42900,0.562959,3.05
43000,0.558533,3.24
43100,0.569622,3.28
43200,0.562413,3.11
43300,0.536378,3.46
43400,0.559698,3.74
43500,0.542281,3.07
43600,0.558231,3.15
43700,0.574465,3.40
43800,0.574146,3.16
43900,0.576823,3.27
44000,0.573339,3.15
44100,0.558542,2.72
44200,0.575405,3.10
44300,0.580141,3.56
44400,0.566397,3.20
44500,0.554669,3.27
44600,0.558967,3.40
44700,0.556937,3.04
44800,0.557944,3.01
44900,0.574447,3.14
45000,0.555858,2.80
45100,0.549963,2.91
45200,0.563246,3.49
45300,0.557451,2.93
45400,0.553491,2.73
45500,0.578700,3.42
45600,0.562709,2.87
45700,0.592332,3.25
45800,0.584641,3.48
45900,0.559698,2.94
46000,0.568944,3.19
46100,0.571366,3.46
46200,0.568873,3.09
46300,0.561513,3.17
46400,0.546253,3.11
46500,0.536377,2.68
46600,0.554797,3.07
46700,0.569362,3.38
46800,0.554548,2.88
46900,0.565942,2.99
47000,0.573931,3.24
47100,0.565457,3.02
47200,0.565202,3.07
47300,0.590537,3.62
47400,0.551900,2.89
47500,0.568153,3.14
47600,0.576672,3.31
47700,0.558203,2.90
47800,0.564815,3.36
47900,0.571408,3.40
48000,0.562356,3.11
48100,0.576690,3.23
48200,0.558428,3.27
48300,0.545322,2.89
48400,0.548778,2.96
48500,0.564376,3.39
48600,0.549661,2.97
48700,0.558331,3.01
48800,0.560584,3.19
48900,0.553145,3.05
49000,0.561179,3.27
49100,0.574408,3.62
49200,0.555497,3.09
49300,0.548421,3.10
49400,0.551878,3.36
49500,0.537727,2.92
49600,0.559471,3.05
49700,0.565328,3.28
49800,0.571950,3.24
49900,0.565966,3.03
50000,0.556338,3.25
50100,0.555534,3.07
50200,0.569525,3.17
50300,0.595127,3.16
50400,0.567968,2.87
