tick,avg_hydrolytic_resistance,pct_blocks_in_assemblies
0,0.000000,0.00
100,0.490357,0.00
200,0.521875,0.00
300,0.507599,0.00
400,0.507535,0.00
500,0.523041,0.00
600,0.515395,0.00
700,0.536380,0.00
800,0.533170,0.00
900,0.512674,0.00
1000,0.530395,0.00
1100,0.525124,0.00
1200,0.533619,0.00
1300,0.518817,0.00
1400,0.544024,0.00
1500,0.519618,0.00
1600,0.519678,0.00
1700,0.549835,0.00
1800,0.531214,0.00
1900,0.536876,0.00
2000,0.528650,0.00
2100,0.521750,0.00
2200,0.522649,0.00
2300,0.527894,0.00
2400,0.519865,0.00
2500,0.516305,0.00
2600,0.520795,0.00
2700,0.513187,0.00
2800,0.518681,0.00
2900,0.521106,0.00
3000,0.501264,0.00
3100,0.516493,0.00
3200,0.522919,0.00
3300,0.530634,0.00
3400,0.533776,0.00
3500,0.532474,0.00
3600,0.522471,0.00
3700,0.525938,0.00
3800,0.533367,0.00
3900,0.535360,0.00
4000,0.534281,0.00
4100,0.549278,0.00
4200,0.533987,0.00
4300,0.524032,0.00
4400,0.535149,0.00
4500,0.523144,0.00
4600,0.541209,0.00
4700,0.546391,0.00
4800,0.537503,0.00
4900,0.532049,0.00
5000,0.530197,0.00
5100,0.533808,0.00
5200,0.528785,0.00
5300,0.541688,0.00
5400,0.512690,0.00
5500,0.512084,0.00
5600,0.545177,0.00
5700,0.532912,0.00
5800,0.544606,0.00
5900,0.541806,0.00
6000,0.527303,0.00
6100,0.542853,0.00
6200,0.541100,0.00
6300,0.521227,0.00
6400,0.534158,0.00
6500,0.532476,0.00
6600,0.524340,0.00
6700,0.523416,0.00
6800,0.536567,0.00
6900,0.519914,0.00
7000,0.535823,0.00
7100,0.532904,0.00
7200,0.515528,0.00
7300,0.525616,0.00
7400,0.526515,0.00
7500,0.522363,0.00
7600,0.522378,0.00
7700,0.528072,0.00
7800,0.512283,0.00
7900,0.518472,0.00
8000,0.531126,0.00
8100,0.510454,0.00
8200,0.529120,0.00
8300,0.536331,0.00
8400,0.510880,0.00
8500,0.512102,0.00
8600,0.540181,0.00
8700,0.517812,0.00
8800,0.518216,0.00
8900,0.530813,0.00
9000,0.526942,0.00
9100,0.522445,0.00
9200,0.532537,0.00
9300,0.526427,0.00
9400,0.519029,0.00
9500,0.529306,0.00
9600,0.524833,0.00
9700,0.523305,0.00
9800,0.527127,0.00
9900,0.515784,0.00
10000,0.514569,0.00
10100,0.529153,0.00
10200,0.524295,0.00
10300,0.506509,0.00
10400,0.514480,0.00
10500,0.502492,0.00
10600,0.540464,0.00
10700,0.539440,0.00
10800,0.523963,0.00
10900,0.543842,0.00
11000,0.527471,0.00
11100,0.531493,0.00
11200,0.518022,0.00
11300,0.535704,0.00
11400,0.521502,0.00
11500,0.540329,0.00
11600,0.529872,0.00
11700,0.521833,0.00
11800,0.537620,0.00
11900,0.524455,0.00
12000,0.519989,0.00
12100,0.527830,0.00
12200,0.538264,0.00
12300,0.539044,0.00
12400,0.540639,0.00
12500,0.546501,0.00
12600,0.536101,0.00
12700,0.535910,0.00
12800,0.554029,0.00
12900,0.539079,0.00
13000,0.540284,0.00
13100,0.543155,0.00
13200,0.548978,0.00
13300,0.541071,0.00
13400,0.543030,0.00
13500,0.528021,0.00
13600,0.524232,0.00
13700,0.539556,0.00
13800,0.538025,0.00
13900,0.542899,0.00
14000,0.530546,0.00
14100,0.528086,0.00
14200,0.528394,0.00
