tick,avg_hydrolytic_resistance,pct_blocks_in_assemblies
0,0.000000,0.00
100,0.521720,0.00
200,0.538260,0.00
300,0.535856,0.00
400,0.548280,0.00
500,0.558603,0.00
600,0.551983,0.00
700,0.570885,0.00
800,0.562263,0.00
900,0.558365,0.00
1000,0.574152,0.00
1100,0.562394,0.00
1200,0.530849,0.00
1300,0.531486,0.00
1400,0.563733,0.00
1500,0.551930,0.00
1600,0.562657,0.00
1700,0.552534,0.00
1800,0.551727,0.00
1900,0.554621,0.00
2000,0.558845,0.00
2100,0.537081,0.00
2200,0.542033,0.00
2300,0.549290,0.00
2400,0.540917,0.00
2500,0.558841,0.00
2600,0.564120,0.00
2700,0.541834,0.00
2800,0.559067,0.00
2900,0.588641,0.00
3000,0.558154,0.00
3100,0.556375,0.00
3200,0.575440,0.00
3300,0.544145,0.00
3400,0.566614,0.00
3500,0.572271,0.00
3600,0.555648,0.00
3700,0.556533,0.00
3800,0.565787,0.00
3900,0.558577,0.00
4000,0.565640,0.00
4100,0.582999,0.00
4200,0.555512,0.00
4300,0.569593,0.00
4400,0.559576,0.00
4500,0.541546,0.00
4600,0.558097,0.00
4700,0.559986,0.00
4800,0.546725,0.00
4900,0.562128,0.00
5000,0.568835,0.00
5100,0.559317,0.00
5200,0.559454,0.00
5300,0.568859,0.00
5400,0.560577,0.00
5500,0.572625,0.00
5600,0.581077,0.00
5700,0.561135,0.00
5800,0.562864,0.00
5900,0.562390,0.00
6000,0.550283,0.00
6100,0.551506,0.00
6200,0.558165,0.00
6300,0.556596,0.00
6400,0.559998,0.00
6500,0.559057,0.00
6600,0.558797,0.00
6700,0.564816,0.00
6800,0.577716,0.00
6900,0.558905,0.00
7000,0.567538,0.00
7100,0.579678,0.00
7200,0.552291,0.00
7300,0.565829,0.00
7400,0.593193,0.00
7500,0.566235,0.00
7600,0.578154,0.00
7700,0.581600,0.00
7800,0.560709,0.00
7900,0.571635,0.00
8000,0.570022,0.00
8100,0.557266,0.00
8200,0.569253,0.00
8300,0.567619,0.00
8400,0.566673,0.00
8500,0.565732,0.00
8600,0.582347,0.00
8700,0.576449,0.00
8800,0.571747,0.00
8900,0.577362,0.00
9000,0.541296,0.00
9100,0.555762,0.00
9200,0.562473,0.00
9300,0.547611,0.00
9400,0.576396,0.00
9500,0.583929,0.00
9600,0.560373,0.00
9700,0.576817,0.00
9800,0.559912,0.00
9900,0.555105,0.00
10000,0.556473,0.00
10100,0.552008,0.00
10200,0.549819,0.00
10300,0.545249,0.00
10400,0.564220,0.00
10500,0.564579,0.00
10600,0.567193,0.00
10700,0.567671,0.00
10800,0.544066,0.00
10900,0.566486,0.00
11000,0.576048,0.00
11100,0.544199,0.00
11200,0.553023,0.00
11300,0.537630,0.00
11400,0.524601,0.00
11500,0.557442,0.00
11600,0.570020,0.00
11700,0.556774,0.00
11800,0.555771,0.00
11900,0.559769,0.00
12000,0.555965,0.00
12100,0.568428,0.00
12200,0.568035,0.00
12300,0.549831,0.00
12400,0.570207,0.00
12500,0.563745,0.00
12600,0.560512,0.00
12700,0.562976,0.00
12800,0.574685,0.00
12900,0.548918,0.00
13000,0.547474,0.00
13100,0.544498,0.00
13200,0.543420,0.00
13300,0.570652,0.00
13400,0.547913,0.00
13500,0.552673,0.00
13600,0.565073,0.00
13700,0.581834,0.00
13800,0.560883,0.00
13900,0.573337,0.00
14000,0.591020,0.00
14100,0.560739,0.00
14200,0.571412,0.00
14300,0.585787,0.00
14400,0.553562,0.00
14500,0.545168,0.00
14600,0.556951,0.00
14700,0.546365,0.00
14800,0.549640,0.00
14900,0.558181,0.00
15000,0.557385,0.00
15100,0.572570,0.00
15200,0.562959,0.00
15300,0.549829,0.00
15400,0.566457,0.00
15500,0.564481,0.00
15600,0.556466,0.00
15700,0.573884,0.00
15800,0.586602,0.00
15900,0.570101,0.00
16000,0.571166,0.00
16100,0.575780,0.00
16200,0.572490,0.00
16300,0.574781,0.00
16400,0.579840,0.00
16500,0.558612,0.00
16600,0.552497,0.00
16700,0.568050,0.00
16800,0.548191,0.00
16900,0.565487,0.00
17000,0.579762,0.00
17100,0.563209,0.00
17200,0.557933,0.00
17300,0.577689,0.00
17400,0.568351,0.00
17500,0.558955,0.00
17600,0.564401,0.00
17700,0.558376,0.00
17800,0.567546,0.00
17900,0.555619,0.00
18000,0.565330,0.00
18100,0.562530,0.00
18200,0.575034,0.00
18300,0.568219,0.00
18400,0.564289,0.00
18500,0.567985,0.00
18600,0.566490,0.00
18700,0.565509,0.00
18800,0.554560,0.00
18900,0.572785,0.00
19000,0.567768,0.00
19100,0.581249,0.00
19200,0.562651,0.00
19300,0.574635,0.00
19400,0.572398,0.00
19500,0.558236,0.00
19600,0.564977,0.00
19700,0.569159,0.00
19800,0.552530,0.00
19900,0.564338,0.00
20000,0.578391,0.00
20100,0.548078,0.00
20200,0.556643,0.00
20300,0.564710,0.00
20400,0.554553,0.00
20500,0.566439,0.00
20600,0.570104,0.00
20700,0.555734,0.00
20800,0.575460,0.00
20900,0.584413,0.00
21000,0.565655,0.00
21100,0.573239,0.00
21200,0.579644,0.00
21300,0.570053,0.00
21400,0.567833,0.00
21500,0.583410,0.00
21600,0.572799,0.00
21700,0.576315,0.00
21800,0.603460,0.00
21900,0.585495,0.00
22000,0.593052,0.00
22100,0.572979,0.00
22200,0.571591,0.00
22300,0.577755,0.00
22400,0.594528,0.00
22500,0.571689,0.00
22600,0.578806,0.00
22700,0.567459,0.00
22800,0.561486,0.00
22900,0.574132,0.00
23000,0.581839,0.00
23100,0.572478,0.00
23200,0.564959,0.00
23300,0.585378,0.00
23400,0.579727,0.00
23500,0.592936,0.00
23600,0.579375,0.00
23700,0.555672,0.00
23800,0.555101,0.00
23900,0.578995,0.00
24000,0.577581,0.00
24100,0.569171,0.00
24200,0.589852,0.00
24300,0.572280,0.00
24400,0.560473,0.00
24500,0.566430,0.00
24600,0.560665,0.00
24700,0.576965,0.00
24800,0.574295,0.00
24900,0.566370,0.00
25000,0.570305,0.00
25100,0.577852,0.00
25200,0.555271,0.00
25300,0.576207,0.00
25400,0.594707,0.00
25500,0.566689,0.00
25600,0.562182,0.00
25700,0.562900,0.00
25800,0.557679,0.00
25900,0.565953,0.00
26000,0.567938,0.00
26100,0.555835,0.00
26200,0.553020,0.00
26300,0.558967,0.00
26400,0.554130,0.00
26500,0.549289,0.00
26600,0.571986,0.00
26700,0.552890,0.00
26800,0.553677,0.00
26900,0.554478,0.00
27000,0.561703,0.00
27100,0.561288,0.00
27200,0.561273,0.00
27300,0.569332,0.00
27400,0.557173,0.00
27500,0.584173,0.00
27600,0.562384,0.00
27700,0.561238,0.00
27800,0.567163,0.00
27900,0.564419,0.00
28000,0.574147,0.00
28100,0.581241,0.00
28200,0.554871,0.00
28300,0.559306,0.00
28400,0.584280,0.00
28500,0.562225,0.00
28600,0.553009,0.00
28700,0.566655,0.00
28800,0.559668,0.00
28900,0.572292,0.00
29000,0.579062,0.00
29100,0.554472,0.00
29200,0.562258,0.00
29300,0.580531,0.00
29400,0.570058,0.00
29500,0.576833,0.00
29600,0.559141,0.00
29700,0.552562,0.00
29800,0.546874,0.00
29900,0.539560,0.00
30000,0.550231,0.00
30100,0.554369,0.00
30200,0.570933,0.00
30300,0.557145,0.00
30400,0.559366,0.00
30500,0.566769,0.00
30600,0.556377,0.00
30700,0.560735,0.00
30800,0.561571,0.00
30900,0.549940,0.00
31000,0.564936,0.00
31100,0.581996,0.00
31200,0.562408,0.00
31300,0.583273,0.00
31400,0.593962,0.00
31500,0.558475,0.00
31600,0.559283,0.00
31700,0.565835,0.00
31800,0.546790,0.00
31900,0.572713,0.00
32000,0.576436,0.00
32100,0.557332,0.00
32200,0.554174,0.00
32300,0.558223,0.00
32400,0.562922,0.00
32500,0.558293,0.00
32600,0.585335,0.00
32700,0.549507,0.00
32800,0.577798,0.00
32900,0.573373,0.00
33000,0.557005,0.00
33100,0.556859,0.00
33200,0.572796,0.00
33300,0.571455,0.00
33400,0.561104,0.00
33500,0.575260,0.00
33600,0.561137,0.00
33700,0.568821,0.00
33800,0.564501,0.00
33900,0.544570,0.00
34000,0.543482,0.00
34100,0.568149,0.00
34200,0.546696,0.00
34300,0.561207,0.00
34400,0.564925,0.00
34500,0.549336,0.00
34600,0.570585,0.00
34700,0.571775,0.00
34800,0.556424,0.00
34900,0.569736,0.00
35000,0.576940,0.00
35100,0.555938,0.00
35200,0.581021,0.00
35300,0.574137,0.00
35400,0.562032,0.00
35500,0.556771,0.00
35600,0.563771,0.00
35700,0.562958,0.00
35800,0.571134,0.00
35900,0.580355,0.00
36000,0.569230,0.00
36100,0.551950,0.00
36200,0.564463,0.00
36300,0.556061,0.00
36400,0.565756,0.00
36500,0.555555,0.00
36600,0.553735,0.00
36700,0.555116,0.00
36800,0.581263,0.00
36900,0.572730,0.00
37000,0.556592,0.00
37100,0.561212,0.00
37200,0.548531,0.00
37300,0.560956,0.00
37400,0.587622,0.00
37500,0.553547,0.00
37600,0.554127,0.00
37700,0.567519,0.00
37800,0.544620,0.00
37900,0.553223,0.00
38000,0.580596,0.00
38100,0.562936,0.00
38200,0.566031,0.00
38300,0.598833,0.00
38400,0.568269,0.00
38500,0.573261,0.00
38600,0.570144,0.00
38700,0.562050,0.00
38800,0.577202,0.00
38900,0.576207,0.00
39000,0.563554,0.00
39100,0.570176,0.00
39200,0.580729,0.00
39300,0.554530,0.00
39400,0.579075,0.00
39500,0.581115,0.00
39600,0.576603,0.00
39700,0.567594,0.00
39800,0.557068,0.00
39900,0.553976,0.00
40000,0.562164,0.00
40100,0.569260,0.00
40200,0.558651,0.00
40300,0.556136,0.00
40400,0.576954,0.00
40500,0.569874,0.00
40600,0.583740,0.00
