tick,avg_hydrolytic_resistance,pct_blocks_in_assemblies
26400,0.540336,0.00
26500,0.544163,0.00
26600,0.545302,0.00
26700,0.551981,0.00
26800,0.536167,0.00
26900,0.551474,0.00
27000,0.541761,0.00
27100,0.552596,0.00
27200,0.540650,0.00
27300,0.536968,0.00
27400,0.548336,0.00
27500,0.556457,0.00
27600,0.549266,0.00
27700,0.553505,0.00
27800,0.577005,0.00
27900,0.531800,0.00
28000,0.547621,0.00
28100,0.537227,0.00
28200,0.539220,0.00
28300,0.556679,0.00
28400,0.557947,0.00
28500,0.537145,0.00
28600,0.540688,0.00
28700,0.562463,0.00
28800,0.534528,0.00
28900,0.547542,0.00
29000,0.569250,0.00
29100,0.553952,0.00
29200,0.558481,0.00
29300,0.560175,0.00
29400,0.542735,0.00
29500,0.537389,0.00
29600,0.557020,0.00
29700,0.538712,0.00
29800,0.547989,0.00
29900,0.560758,0.00
30000,0.547069,0.00
30100,0.539590,0.00
30200,0.550260,0.00
30300,0.528006,0.00
30400,0.543859,0.00
30500,0.557336,0.00
30600,0.544052,0.00
30700,0.534814,0.00
30800,0.558541,0.00
30900,0.533231,0.00
31000,0.543839,0.00
31100,0.571511,0.00
31200,0.544428,0.00
31300,0.552214,0.00
31400,0.549553,0.00
31500,0.543443,0.00
31600,0.541358,0.00
31700,0.536609,0.00
31800,0.545098,0.00
31900,0.535568,0.00
32000,0.544697,0.00
32100,0.536840,0.00
32200,0.540349,0.00
32300,0.542447,0.00
32400,0.533426,0.00
32500,0.525865,0.00
32600,0.554772,0.00
32700,0.540428,0.00
32800,0.539826,0.00
32900,0.541486,0.00
33000,0.534925,0.00
33100,0.541323,0.00
33200,0.565048,0.00
33300,0.536254,0.00
33400,0.554322,0.00
33500,0.571040,0.00
33600,0.538696,0.00
33700,0.543469,0.00
33800,0.564046,4.46
33900,0.545932,3.95
34000,0.535064,4.00
34100,0.544627,3.49
34200,0.544553,1.97
34300,0.542851,2.04
34400,0.562892,2.48
34500,0.536994,1.48
34600,0.544633,1.57
34700,0.548380,1.66
34800,0.552333,1.62
34900,0.548898,1.55
35000,0.567691,0.00
35100,0.566123,0.00
35200,0.541060,0.00
35300,0.534494,0.00
35400,0.531333,0.00
35500,0.542370,0.00
35600,0.545775,0.00
35700,0.540375,0.00
35800,0.546988,0.00
35900,0.558262,0.00
36000,0.536119,0.00
36100,0.529795,0.00
36200,0.534708,0.00
36300,0.540332,0.00
36400,0.544699,0.00
36500,0.562796,0.00
36600,0.556827,0.00
36700,0.545416,0.00
36800,0.560202,0.00
36900,0.544261,0.00
37000,0.539789,0.00
37100,0.547330,0.00
37200,0.541796,0.00
37300,0.538719,0.00
37400,0.546987,0.00
37500,0.547048,0.00
37600,0.552009,0.00
37700,0.559127,0.00
37800,0.546152,0.00
37900,0.542139,0.00
38000,0.560446,0.00
38100,0.535938,0.00
38200,0.548596,0.00
38300,0.566877,0.00
38400,0.547446,0.00
38500,0.552479,0.00
38600,0.566873,0.00
38700,0.537097,0.00
38800,0.541444,0.00
38900,0.555806,0.00
39000,0.534455,0.00
39100,0.529235,0.00
39200,0.553273,0.00
39300,0.533705,0.00
39400,0.534528,0.00
39500,0.543155,0.00
39600,0.537007,0.00
39700,0.558140,0.00
39800,0.558450,0.00
39900,0.536544,0.00
40000,0.543935,0.00
40100,0.552896,0.00
40200,0.521218,0.00
40300,0.539220,0.00
40400,0.550165,0.00
40500,0.541581,0.00
40600,0.549926,0.00
40700,0.547931,0.00
40800,0.527455,0.00
40900,0.540001,0.00
41000,0.559511,0.00
41100,0.551797,0.00
41200,0.541253,0.00
41300,0.543749,0.00
41400,0.533124,0.00
41500,0.554376,0.00
41600,0.574348,0.00
41700,0.552956,0.00
41800,0.552802,0.00
41900,0.555397,0.00
42000,0.545359,0.00
42100,0.561028,0.00
42200,0.555017,0.00
42300,0.540668,0.00
42400,0.548414,0.00
42500,0.559891,0.00
42600,0.536085,0.00
42700,0.560228,0.00
42800,0.549813,0.00
42900,0.543745,0.00
43000,0.543447,0.00
43100,0.548376,0.00
43200,0.547072,0.00
43300,0.533114,0.00
43400,0.531456,0.00
43500,0.529284,0.00
43600,0.532362,0.00
43700,0.552695,0.00
43800,0.538669,0.00
43900,0.538649,0.00
44000,0.531114,0.00
44100,0.523665,0.00
44200,0.543428,0.00
44300,0.557396,0.00
44400,0.541192,0.00
44500,0.560040,0.00
44600,0.582006,0.00
44700,0.557038,0.00
44800,0.551497,0.00
44900,0.552598,0.00
45000,0.530681,0.00
45100,0.533044,0.00
45200,0.547593,0.00
45300,0.528030,0.00
45400,0.527847,0.00
45500,0.554098,0.00
45600,0.538103,0.00
45700,0.550028,0.00
45800,0.589985,0.00
45900,0.555699,0.00
46000,0.561583,0.00
46100,0.547243,0.00
46200,0.532890,0.00
46300,0.537744,0.00
46400,0.544721,0.00
46500,0.539437,0.00
46600,0.547671,0.00
46700,0.569258,0.00
46800,0.565827,0.00
46900,0.543212,0.00
47000,0.558821,0.00
47100,0.546648,0.00
47200,0.546938,0.00
47300,0.544724,0.00
47400,0.538775,0.00
47500,0.553312,0.00
47600,0.545946,0.00
47700,0.531545,0.00
47800,0.552881,0.00
47900,0.559726,0.00
48000,0.532561,0.00
48100,0.524572,0.00
48200,0.549635,0.00
48300,0.544075,0.00
48400,0.553548,0.00
48500,0.568514,0.00
48600,0.543017,0.00
48700,0.551895,0.00
48800,0.554671,0.00
48900,0.540234,0.00
49000,0.571631,0.00
49100,0.545117,0.00
49200,0.541561,0.00
49300,0.552238,0.00
49400,0.561545,0.00
49500,0.547127,0.00
49600,0.553930,0.00
49700,0.558883,0.00
49800,0.544214,0.00
49900,0.548977,0.00
50000,0.547488,0.00
